store_id,n_images,location_type,est_hall_area,est_hall_height,furniture_index,min,ave,max
むさしの森珈琲小田原店,5,cafe,10.035199011600989,2.8,5.669489425491683,56.0,64.0,79.0
博多 幸竜 厚木店,4,ramen,6.519928144628318,2.8,2.8802943791646527,53.0,67.0,76.0
